draw,layer,Committee015,A_Stat,A_Dynamic,B_Stat
1377,A,0.27932116389274597,-0.33450600504875183,-0.6014676690101624,
1378,other,3.374368906021118,,,
1379,B,0.20036648213863373,,,0.5525438785552979
1380,A,-0.0985177606344223,-0.14862927794456482,0.5353408455848694,
1381,other,-1.2296875715255737,,,
1382,other,-0.3960741460323334,,,
1383,A,0.5625733733177185,-0.16300763189792633,1.1838651895523071,
1384,A,0.10617710649967194,0.7041845917701721,0.8701249957084656,
1385,A,0.37112724781036377,0.5767971277236938,0.3076331913471222,
1386,other,1.5781642198562622,,,
1387,A,0.14656274020671844,0.8833240866661072,0.7721495628356934,
1388,A,0.8881646394729614,0.8916831612586975,0.756699800491333,
1389,A,1.2089033126831055,1.7491422891616821,1.9301337003707886,
1390,B,0.714756429195404,,,1.0115869045257568
1391,A,0.040768325328826904,-0.3159272074699402,0.13541452586650848,
1392,B,1.1237431764602661,,,1.3926377296447754
1393,A,1.0825655460357666,1.3012075424194336,1.654710054397583,
1394,B,-1.2386398315429688,,,0.08921095728874207
1395,other,4.246807098388672,,,
1396,other,-0.9950652718544006,,,
1397,B,0.6466432213783264,,,0.7686400413513184
1398,B,2.398526668548584,,,1.7292425632476807
1399,other,-1.8092666864395142,,,
